"","filename","version","vuln_count","date"
"159","busctl","version_0.6",0,"2022-06-10"
"160","busybox","version_0.4",0,"2021-01-07"
"161","busybox","version_0.5",0,"2021-07-05"
"162","busybox","version_0.6",0,"2022-06-10"
"163","bwrap","version_0.4",42,"2021-01-07"
"164","bwrap","version_0.5",32,"2021-07-05"
"165","bwrap","version_0.6",39,"2022-06-10"
"166","cadaver","version_0.4",139,"2021-01-07"
"167","cadaver","version_0.5",102,"2021-07-05"
"168","cadaver","version_0.6",96,"2022-06-10"
"169","cgpt","version_0.4",72,"2021-01-07"
"170","cgpt","version_0.5",26,"2021-07-05"
"171","cgpt","version_0.6",38,"2022-06-10"
"172","chage","version_0.4",79,"2021-01-07"
"173","chage","version_0.5",29,"2021-07-05"
"174","chage","version_0.6",38,"2022-06-10"
"175","chcon","version_0.4",175,"2021-01-07"
"176","chcon","version_0.5",29,"2021-07-05"
"177","chcon","version_0.6",36,"2022-06-10"
"178","cherrytree","version_0.4",0,"2021-01-07"
"179","cherrytree","version_0.5",0,"2021-07-05"
"180","cherrytree","version_0.6",261,"2022-06-10"
"181","chfn","version_0.4",61,"2021-01-07"
"182","chfn","version_0.5",31,"2021-07-05"
"183","chfn","version_0.6",38,"2022-06-10"
"184","chgrp","version_0.4",193,"2021-01-07"
"185","chgrp","version_0.5",32,"2021-07-05"
"186","chgrp","version_0.6",39,"2022-06-10"
"187","chmod","version_0.4",195,"2021-01-07"
"188","chmod","version_0.5",30,"2021-07-05"
"189","chmod","version_0.6",62,"2022-06-10"
"190","choom","version_0.4",34,"2021-01-07"
"191","choom","version_0.5",18,"2021-07-05"
"192","choom","version_0.6",23,"2022-06-10"
"193","chown","version_0.4",194,"2021-01-07"
"194","chown","version_0.5",33,"2021-07-05"
"195","chown","version_0.6",41,"2022-06-10"
"196","chsh","version_0.4",65,"2021-01-07"
"197","chsh","version_0.5",25,"2021-07-05"
"198","chsh","version_0.6",31,"2022-06-10"
"199","cifsdd","version_0.4",38,"2021-01-07"
"200","cifsdd","version_0.5",16,"2021-07-05"
"201","cifsdd","version_0.6",14,"2022-06-10"
"202","ciptool","version_0.4",77,"2021-01-07"
"203","ciptool","version_0.5",55,"2021-07-05"
"204","ciptool","version_0.6",68,"2022-06-10"
"205","citrix","version_0.4",343,"2021-01-07"
"206","citrix","version_0.5",111,"2021-07-05"
"207","citrix","version_0.6",119,"2022-06-10"
"208","cjpeg","version_0.4",27,"2021-01-07"
"209","cjpeg","version_0.5",3,"2021-07-05"
"210","cjpeg","version_0.6",5,"2022-06-10"
"211","closed_source_web_server_fuzz","version_0.4",358,"2021-01-07"
"212","closed_source_web_server_fuzz","version_0.5",119,"2021-07-05"
"213","closed_source_web_server_fuzz","version_0.6",122,"2022-06-10"
"214","cluster","version_0.4",477,"2021-01-07"
"215","cluster","version_0.5",0,"2021-07-05"
"216","cluster","version_0.6",0,"2022-06-10"
"217","colormgr","version_0.4",0,"2021-01-07"
"218","colormgr","version_0.5",0,"2021-07-05"
"219","colormgr","version_0.6",0,"2022-06-10"
"220","column","version_0.4",61,"2021-01-07"
"221","column","version_0.5",49,"2021-07-05"
"222","column","version_0.6",55,"2022-06-10"
"223","corkscrew","version_0.4",414,"2021-01-07"
"224","corkscrew","version_0.5",15,"2021-07-05"
"225","corkscrew","version_0.6",13,"2022-06-10"
"226","cp","version_0.4",703,"2021-01-07"
"227","cp","version_0.5",101,"2021-07-05"
"228","cp","version_0.6",141,"2022-06-10"
"229","cpio","version_0.4",412,"2021-01-07"
"230","cpio","version_0.5",151,"2021-07-05"
"231","cpio","version_0.6",167,"2022-06-10"
"232","crunch","version_0.4",163,"2021-01-07"
"233","crunch","version_0.5",111,"2021-07-05"
"234","crunch","version_0.6",169,"2022-06-10"
"235","csplit","version_0.4",472,"2021-01-07"
"236","csplit","version_0.5",124,"2021-07-05"
"237","csplit","version_0.6",133,"2022-06-10"
"238","curl","version_0.4",325,"2021-01-07"
"239","curl","version_0.5",61,"2021-07-05"
"240","curl","version_0.6",91,"2022-06-10"
"241","curlftpfs","version_0.4",32,"2021-01-07"
"242","curlftpfs","version_0.5",30,"2021-07-05"
"243","curlftpfs","version_0.6",28,"2022-06-10"
"244","cutycapt","version_0.4",28,"2021-01-07"
"245","cutycapt","version_0.5",2,"2021-07-05"
"246","cutycapt","version_0.6",2,"2022-06-10"
"247","cvtsudoers","version_0.4",450,"2021-01-07"
"248","cvtsudoers","version_0.5",176,"2021-07-05"
"249","cvtsudoers","version_0.6",134,"2022-06-10"
"250","dash","version_0.4",131,"2021-01-07"
"251","dash","version_0.5",53,"2021-07-05"
"252","dash","version_0.6",63,"2022-06-10"
"253","date","version_0.4",98,"2021-01-07"
"254","date","version_0.5",72,"2021-07-05"
"255","date","version_0.6",77,"2022-06-10"
"256","dbd","version_0.4",117,"2021-01-07"
"257","dbd","version_0.5",33,"2021-07-05"
"258","dbd","version_0.6",33,"2022-06-10"
"259","dbus-daemon","version_0.4",442,"2021-01-07"
"260","dbus-daemon","version_0.5",20,"2021-07-05"
"261","dbus-daemon","version_0.6",58,"2022-06-10"
"262","dceoversmb","version_0.4",366,"2021-01-07"
"263","dceoversmb","version_0.5",126,"2021-07-05"
"264","dceoversmb","version_0.6",125,"2022-06-10"
"265","dd","version_0.4",96,"2021-01-07"
"266","dd","version_0.5",63,"2021-07-05"
"267","dd","version_0.6",64,"2022-06-10"
"268","desktop-file-install","version_0.4",83,"2021-01-07"
"269","desktop-file-install","version_0.5",0,"2021-07-05"
"270","desktop-file-install","version_0.6",0,"2022-06-10"
"271","desktop-file-validate","version_0.4",82,"2021-01-07"
"272","desktop-file-validate","version_0.5",0,"2021-07-05"
"273","desktop-file-validate","version_0.6",0,"2022-06-10"
"274","df","version_0.4",171,"2021-01-07"
"275","df","version_0.5",71,"2021-07-05"
"276","df","version_0.6",85,"2022-06-10"
"277","diff","version_0.4",883,"2021-01-07"
"278","diff","version_0.5",223,"2021-07-05"
"279","diff","version_0.6",247,"2022-06-10"
"280","diff3","version_0.4",105,"2021-01-07"
"281","diff3","version_0.5",53,"2021-07-05"
"282","diff3","version_0.6",55,"2022-06-10"
"283","dig","version_0.4",405,"2021-01-07"
"284","dig","version_0.5",173,"2021-07-05"
"285","dig","version_0.6",135,"2022-06-10"
"286","dir","version_0.4",233,"2021-01-07"
"287","dir","version_0.5",158,"2021-07-05"
"288","dir","version_0.6",123,"2022-06-10"
"289","dirb","version_0.4",73,"2021-01-07"
"290","dirb","version_0.5",81,"2021-07-05"
"291","dirb","version_0.6",84,"2022-06-10"
"292","dirmngr","version_0.4",981,"2021-01-07"
"293","dirmngr","version_0.5",527,"2021-07-05"
"294","dirmngr","version_0.6",531,"2022-06-10"
"295","dirmngr-client","version_0.4",137,"2021-01-07"
"296","dirmngr-client","version_0.5",93,"2021-07-05"
"297","dirmngr-client","version_0.6",92,"2022-06-10"
"298","dmesg","version_0.4",28,"2021-01-07"
"299","dmesg","version_0.5",28,"2021-07-05"
"300","dmesg","version_0.6",28,"2022-06-10"
"301","dns2tcpc","version_0.4",84,"2021-01-07"
"302","dns2tcpc","version_0.5",32,"2021-07-05"
"303","dns2tcpc","version_0.6",33,"2022-06-10"
"304","dns2tcpd","version_0.4",110,"2021-01-07"
"305","dns2tcpd","version_0.5",40,"2021-07-05"
"306","dns2tcpd","version_0.6",47,"2022-06-10"
"307","dos2unix","version_0.4",88,"2021-01-07"
"308","dos2unix","version_0.5",5,"2021-07-05"
"309","dos2unix","version_0.6",7,"2022-06-10"
"310","do_post","version_0.4",350,"2021-01-07"
"311","do_post","version_0.5",122,"2021-07-05"
"312","do_post","version_0.6",123,"2022-06-10"
"313","dpkg","version_0.4",601,"2021-01-07"
"314","dpkg","version_0.5",178,"2021-07-05"
"315","dpkg","version_0.6",187,"2022-06-10"
"316","dpkg-deb","version_0.4",211,"2021-01-07"
"317","dpkg-deb","version_0.5",95,"2021-07-05"
"318","dpkg-deb","version_0.6",92,"2022-06-10"
"319","dpkg-divert","version_0.4",251,"2021-01-07"
"320","dpkg-divert","version_0.5",92,"2021-07-05"
"321","dpkg-divert","version_0.6",93,"2022-06-10"
"322","dpkg-query","version_0.4",275,"2021-01-07"
"323","dpkg-query","version_0.5",109,"2021-07-05"
"324","dpkg-query","version_0.6",108,"2022-06-10"
"325","dpkg-split","version_0.4",219,"2021-01-07"
"326","dpkg-split","version_0.5",82,"2021-07-05"
"327","dpkg-split","version_0.6",80,"2022-06-10"
"328","dpkg-statoverride","version_0.4",63,"2021-01-07"
"329","dpkg-statoverride","version_0.5",29,"2021-07-05"
"330","dpkg-statoverride","version_0.6",30,"2022-06-10"
"331","dpkg-trigger","version_0.4",78,"2021-01-07"
"332","dpkg-trigger","version_0.5",33,"2021-07-05"
"333","dpkg-trigger","version_0.6",30,"2022-06-10"
"334","du","version_0.4",677,"2021-01-07"
"335","du","version_0.5",159,"2021-07-05"
"336","du","version_0.6",178,"2022-06-10"
"337","dumpcap","version_0.4",196,"2021-01-07"
"338","dumpcap","version_0.5",33,"2021-07-05"
"339","dumpcap","version_0.6",35,"2022-06-10"
"340","dumpkeys","version_0.4",87,"2021-01-07"
"341","dumpkeys","version_0.5",31,"2021-07-05"
"342","dumpkeys","version_0.6",33,"2022-06-10"
"343","ed","version_0.4",48,"2021-01-07"
"344","ed","version_0.5",47,"2021-07-05"
"345","ed","version_0.6",62,"2022-06-10"
"346","edgepaint","version_0.4",412,"2021-01-07"
"347","edgepaint","version_0.5",323,"2021-07-05"
"348","edgepaint","version_0.6",432,"2022-06-10"
"349","editcap","version_0.4",41,"2021-01-07"
"350","editcap","version_0.5",9,"2021-07-05"
"351","editcap","version_0.6",8,"2022-06-10"
"352","editres","version_0.4",86,"2021-01-07"
"353","editres","version_0.5",22,"2021-07-05"
"354","editres","version_0.6",27,"2022-06-10"
"355","eject","version_0.4",75,"2021-01-07"
"356","eject","version_0.5",54,"2021-07-05"
"357","eject","version_0.6",66,"2022-06-10"
"358","engrampa","version_0.4",550,"2021-01-07"
"359","engrampa","version_0.5",1,"2021-07-05"
"360","engrampa","version_0.6",0,"2022-06-10"
"361","eqn","version_0.4",0,"2021-01-07"
"362","eqn","version_0.5",0,"2021-07-05"
"363","eqn","version_0.6",0,"2022-06-10"
"364","etterfilter","version_0.4",64,"2021-01-07"
"365","etterfilter","version_0.5",35,"2021-07-05"
"366","etterfilter","version_0.6",32,"2022-06-10"
"367","etterlog","version_0.4",67,"2021-01-07"
"368","etterlog","version_0.5",13,"2021-07-05"
"369","etterlog","version_0.6",15,"2022-06-10"
"370","exiv2","version_0.4",610,"2021-01-07"
"371","exiv2","version_0.5",373,"2021-07-05"
"372","exiv2","version_0.6",396,"2022-06-10"
"373","exo-desktop-item-edit","version_0.4",36,"2021-01-07"
"374","exo-desktop-item-edit","version_0.5",1,"2021-07-05"
"375","exo-desktop-item-edit","version_0.6",2,"2022-06-10"
"376","expr","version_0.4",476,"2021-01-07"
"377","expr","version_0.5",161,"2021-07-05"
"378","expr","version_0.6",156,"2022-06-10"
"379","factor","version_0.4",116,"2021-01-07"
"380","factor","version_0.5",54,"2021-07-05"
"381","factor","version_0.6",49,"2022-06-10"
"382","fastjar","version_0.4",89,"2021-01-07"
"383","fastjar","version_0.5",58,"2021-07-05"
"384","fastjar","version_0.6",49,"2022-06-10"
"385","fidentify","version_0.4",0,"2021-01-07"
"386","fidentify","version_0.5",0,"2021-07-05"
"387","fidentify","version_0.6",0,"2022-06-10"
"388","filan","version_0.4",47,"2021-01-07"
"389","filan","version_0.5",73,"2021-07-05"
"390","filan","version_0.6",76,"2022-06-10"
"391","file","version_0.4",27,"2021-01-07"
"392","file","version_0.5",87,"2021-07-05"
"393","file","version_0.6",64,"2022-06-10"
"394","find","version_0.4",0,"2021-01-07"
"395","find","version_0.5",0,"2021-07-05"
"396","find","version_0.6",0,"2022-06-10"
"397","findmnt","version_0.4",11,"2021-01-07"
