binary,size,compiler,static,domain
lsusb,252912,Unk,FALSE,System
luit,54144,Unk,FALSE,System
make,240280,Unk,FALSE,System
man,115600,Unk,FALSE,System
mandb,138392,Unk,FALSE,System
mariadb,4139000,gcc(-),FALSE,System
mariadb-admin,3887936,Unk,FALSE,System
mariadb-binlog,4144024,gcc(-),FALSE,System
mariadb-check,3889376,Unk,FALSE,System
mariadb-conv,3648088,gcc(-),FALSE,System
mariadb-dump,3963872,Unk,FALSE,System
mariadb-import,3880064,Unk,FALSE,System
mariadb-plugin,3599616,Unk,FALSE,System
mariadb-show,3878592,Unk,FALSE,System
mariadb-slap,3893728,Unk,FALSE,System
mariadb-tzinfo-to-sql,3594976,Unk,FALSE,System
mariadb-upgrade,3687104,Unk,FALSE,System
mariadb-waitpid,3586528,Unk,FALSE,System
mariadbd-safe-helper,3557120,Unk,FALSE,System
masscan,492912,Unk,FALSE,Network
mate-calc,305368,Unk,FALSE,System
mate-calc-cmd,149080,Unk,FALSE,System
mawk,158296,Unk,FALSE,System
md5deep,244120,gcc(3.X),FALSE,System
mdsearch,80328,Unk,FALSE,System
medusa,71704,Unk,FALSE,Network
metaflac,122912,Unk,FALSE,System
mingle,422480,gcc(3.X),FALSE,System
minicom,211640,Unk,FALSE,Network
mkdir,80056,Unk,FALSE,System
mkfifo,68704,Unk,FALSE,System
mkfs.btrfs,396464,Unk,FALSE,System
mknod,67768,Unk,FALSE,System
mksquashfs,207840,Unk,FALSE,System
mm2gv,88752,Unk,FALSE,System
mmcli,226336,Unk,FALSE,System
more,59632,Unk,FALSE,System
mount,55528,Unk,FALSE,System
mousepad,338960,Unk,FALSE,System
mpg123.bin,158280,Unk,FALSE,System
mpris-proxy,96704,Unk,FALSE,Network
mpstat,63808,Unk,FALSE,System
msrpcfuzz,68104,Unk,FALSE,Network
msrpcfuzz_udp,68104,Unk,FALSE,Network
mt-gnu,80512,Unk,FALSE,System
mv,137440,Unk,FALSE,System
myisamchk,3994880,Unk,FALSE,System
myisamlog,3857920,Unk,FALSE,System
myisampack,3892352,Unk,FALSE,System
myisam_ftdump,3871296,Unk,FALSE,System
my_print_defaults,3591328,Unk,FALSE,System
nano,245872,gcc(Alpine),FALSE,System
nasm,1739352,Unk,FALSE,System
ncdu,403280,gcc(GNU),TRUE,System
ncrack,667200,gcc(3.X),FALSE,Network
ndisasm,1300696,Unk,FALSE,System
net,973856,Unk,FALSE,Network
