"filename","version","vuln_count","date"
"quake","version_3.0",0,NA
"quake","version_2.2.1",0,NA
"quake","version_2.2",0,NA
"quake","version_2.1.post1",80,NA
"quake","version_2.1",80,NA
"quake","version_2.0",80,NA
"quake","version_1.1",80,NA
"quake","version_1.0",0,NA
"mate-calc","version_3.1.1",0,NA
"mate-calc","version_3.1",0,NA
"mate-calc","version_3.0",0,NA
"mate-calc","version_2.2.1",0,NA
"mate-calc","version_2.2",0,NA
"mate-calc","version_2.1.post1",19,NA
"mate-calc","version_2.1",19,NA
"mate-calc","version_2.0",19,NA
"mate-calc","version_1.1",19,NA
"mate-calc","version_1.0",0,NA
"zenity","version_3.1.1",0,NA
"zenity","version_3.1",0,NA
"zenity","version_3.0",0,NA
"zenity","version_2.2.1",0,NA
"zenity","version_2.2",0,NA
"zenity","version_2.1.post1",99,NA
"zenity","version_2.1",99,NA
"zenity","version_2.0",99,NA
"zenity","version_1.1",99,NA
"zenity","version_1.0",0,NA
"ophcrack-cli","version_3.1.1",0,NA
"ophcrack-cli","version_3.1",0,NA
"ophcrack-cli","version_3.0",0,NA
"ophcrack-cli","version_2.2.1",0,NA
"ophcrack-cli","version_2.2",0,NA
"ophcrack-cli","version_2.1.post1",19,NA
"ophcrack-cli","version_2.1",19,NA
"ophcrack-cli","version_2.0",19,NA
"ophcrack-cli","version_1.1",19,NA
"ophcrack-cli","version_1.0",0,NA
"mariadb-check","version_3.1.1",58,NA
"mariadb-check","version_3.1",0,NA
"mariadb-check","version_3.0",58,NA
"mariadb-check","version_2.2.1",58,NA
"mariadb-check","version_2.2",58,NA
"mariadb-check","version_2.1.post1",138,NA
"mariadb-check","version_2.1",138,NA
"mariadb-check","version_2.0",138,NA
"mariadb-check","version_1.1",138,NA
"mariadb-check","version_1.0",0,NA
"systemd-tmpfiles","version_3.1.1",0,NA
"systemd-tmpfiles","version_3.1",0,NA
"systemd-tmpfiles","version_3.0",0,NA
"systemd-tmpfiles","version_2.2.1",0,NA
"systemd-tmpfiles","version_2.2",0,NA
"systemd-tmpfiles","version_2.1.post1",80,NA
"systemd-tmpfiles","version_2.1",80,NA
"systemd-tmpfiles","version_2.0",80,NA
"systemd-tmpfiles","version_1.1",80,NA
"systemd-tmpfiles","version_1.0",0,NA
"mandb","version_3.1.1",0,NA
"mandb","version_3.1",0,NA
"mandb","version_3.0",0,NA
"mandb","version_2.2.1",0,NA
"mandb","version_2.2",0,NA
"mandb","version_2.1.post1",26,NA
"mandb","version_2.1",26,NA
"mandb","version_2.0",26,NA
"mandb","version_1.1",26,NA
"mandb","version_1.0",0,NA
"bully","version_3.1.1",0,NA
"bully","version_3.1",0,NA
"bully","version_3.0",0,NA
"bully","version_2.2.1",0,NA
"bully","version_2.2",0,NA
"bully","version_2.1.post1",80,NA
"bully","version_2.1",80,NA
"bully","version_2.0",80,NA
"bully","version_1.1",80,NA
"bully","version_1.0",0,NA
"desktop-file-install","version_3.1.1",0,NA
"desktop-file-install","version_3.1",0,NA
"desktop-file-install","version_3.0",0,NA
"desktop-file-install","version_2.2.1",0,NA
"desktop-file-install","version_2.2",0,NA
"desktop-file-install","version_2.1.post1",91,NA
"desktop-file-install","version_2.1",91,NA
"desktop-file-install","version_2.0",91,NA
"desktop-file-install","version_1.1",91,NA
"desktop-file-install","version_1.0",0,NA
"sharkd","version_3.1.1",0,NA
"sharkd","version_3.1",0,NA
"sharkd","version_3.0",0,NA
"sharkd","version_2.2.1",0,NA
"sharkd","version_2.2",0,NA
"sharkd","version_2.1.post1",80,NA
"sharkd","version_2.1",80,NA
"sharkd","version_2.0",80,NA
"sharkd","version_1.1",80,NA
"sharkd","version_1.0",0,NA
"xdg-dbus-proxy","version_3.1.1",0,NA
"xdg-dbus-proxy","version_3.1",0,NA
"xdg-dbus-proxy","version_3.0",0,NA
"xdg-dbus-proxy","version_2.2.1",0,NA
"xdg-dbus-proxy","version_2.2",0,NA
"xdg-dbus-proxy","version_2.1.post1",80,NA
"xdg-dbus-proxy","version_2.1",80,NA
"xdg-dbus-proxy","version_2.0",80,NA
"xdg-dbus-proxy","version_1.1",80,NA
"xdg-dbus-proxy","version_1.0",0,NA
"tshark","version_3.1.1",0,NA
"tshark","version_3.1",0,NA
"tshark","version_3.0",0,NA
"tshark","version_2.2.1",0,NA
"tshark","version_2.2",0,NA
"tshark","version_2.1.post1",80,NA
"tshark","version_2.1",80,NA
"tshark","version_2.0",80,NA
"tshark","version_1.1",80,NA
"tshark","version_1.0",0,NA
"shuf","version_3.1.1",0,NA
"shuf","version_3.1",0,NA
"shuf","version_3.0",0,NA
"shuf","version_2.2.1",0,NA
"shuf","version_2.2",0,NA
"shuf","version_2.1.post1",39,NA
"shuf","version_2.1",39,NA
"shuf","version_2.0",39,NA
"shuf","version_1.1",39,NA
"shuf","version_1.0",0,NA
"bwrap","version_3.1.1",0,NA
"bwrap","version_3.1",0,NA
"bwrap","version_3.0",0,NA
"bwrap","version_2.2.1",0,NA
"bwrap","version_2.2",0,NA
"bwrap","version_2.1.post1",75,NA
"bwrap","version_2.1",75,NA
"bwrap","version_2.0",75,NA
"bwrap","version_1.1",75,NA
"bwrap","version_1.0",0,NA
"ntpdc","version_3.1.1",78,NA
"ntpdc","version_3.1",0,NA
"ntpdc","version_3.0",78,NA
"ntpdc","version_2.2.1",34,NA
"ntpdc","version_2.2",34,NA
"ntpdc","version_2.1.post1",74,NA
"ntpdc","version_2.1",74,NA
"ntpdc","version_2.0",74,NA
"ntpdc","version_1.1",74,NA
"ntpdc","version_1.0",0,NA
"pv","version_3.1.1",4,NA
"pv","version_3.1",0,NA
"pv","version_3.0",4,NA
"pv","version_2.2.1",0,NA
"pv","version_2.2",0,NA
"pv","version_2.1.post1",0,NA
"pv","version_2.1",0,NA
"pv","version_2.0",0,NA
"pv","version_1.1",0,NA
"pv","version_1.0",0,NA
"yasm","version_3.1.1",4,NA
"yasm","version_3.1",0,NA
"yasm","version_3.0",4,NA
"yasm","version_2.2.1",0,NA
"yasm","version_2.2",0,NA
"yasm","version_2.1.post1",0,NA
"yasm","version_2.1",0,NA
"yasm","version_2.0",0,NA
"yasm","version_1.1",0,NA
"yasm","version_1.0",0,NA
"x86_64-linux-gnu-gcov-dump-10","version_3.1.1",0,NA
"x86_64-linux-gnu-gcov-dump-10","version_3.1",0,NA
"x86_64-linux-gnu-gcov-dump-10","version_3.0",0,NA
"x86_64-linux-gnu-gcov-dump-10","version_2.2.1",0,NA
"x86_64-linux-gnu-gcov-dump-10","version_2.2",0,NA
"x86_64-linux-gnu-gcov-dump-10","version_2.1.post1",80,NA
"x86_64-linux-gnu-gcov-dump-10","version_2.1",80,NA
"x86_64-linux-gnu-gcov-dump-10","version_2.0",80,NA
"x86_64-linux-gnu-gcov-dump-10","version_1.1",80,NA
"x86_64-linux-gnu-gcov-dump-10","version_1.0",0,NA
"groff","version_3.1.1",0,NA
"groff","version_3.1",0,NA
"groff","version_3.0",0,NA
"groff","version_2.2.1",0,NA
"groff","version_2.2",0,NA
"groff","version_2.1.post1",80,NA
"groff","version_2.1",80,NA
"groff","version_2.0",80,NA
"groff","version_1.1",80,NA
"groff","version_1.0",0,NA
"mkfifo","version_3.1.1",0,NA
"mkfifo","version_3.1",0,NA
"mkfifo","version_3.0",0,NA
"mkfifo","version_2.2.1",0,NA
"mkfifo","version_2.2",0,NA
"mkfifo","version_2.1.post1",80,NA
"mkfifo","version_2.1",80,NA
"mkfifo","version_2.0",80,NA
"mkfifo","version_1.1",80,NA
"mkfifo","version_1.0",0,NA
"tcprewrite","version_3.1.1",0,NA
"tcprewrite","version_3.1",0,NA
"tcprewrite","version_3.0",0,NA
"tcprewrite","version_2.2.1",0,NA
"tcprewrite","version_2.2",0,NA
"tcprewrite","version_2.1.post1",80,NA
"tcprewrite","version_2.1",80,NA
"tcprewrite","version_2.0",80,NA
"tcprewrite","version_1.1",80,NA
"tcprewrite","version_1.0",0,NA
"xfwm4","version_3.1.1",0,NA
"xfwm4","version_3.1",0,NA
"xfwm4","version_3.0",0,NA
"xfwm4","version_2.2.1",0,NA
"xfwm4","version_2.2",0,NA
"xfwm4","version_2.1.post1",19,NA
"xfwm4","version_2.1",19,NA
"xfwm4","version_2.0",19,NA
"xfwm4","version_1.1",19,NA
"xfwm4","version_1.0",0,NA
"gpgcompose","version_3.1.1",0,NA
"gpgcompose","version_3.1",0,NA
"gpgcompose","version_3.0",0,NA
"gpgcompose","version_2.2.1",1,NA
"gpgcompose","version_2.2",1,NA
"gpgcompose","version_2.1.post1",39,NA
"gpgcompose","version_2.1",39,NA
"gpgcompose","version_2.0",39,NA
"gpgcompose","version_1.1",39,NA
"gpgcompose","version_1.0",0,NA
"hexdump","version_3.1.1",0,NA
"hexdump","version_3.1",0,NA
"hexdump","version_3.0",0,NA
"hexdump","version_2.2.1",0,NA
"hexdump","version_2.2",0,NA
"hexdump","version_2.1.post1",80,NA
"hexdump","version_2.1",80,NA
"hexdump","version_2.0",80,NA
"hexdump","version_1.1",80,NA
"hexdump","version_1.0",0,NA
"aria_chk","version_3.1.1",0,NA
"aria_chk","version_3.1",0,NA
"aria_chk","version_3.0",0,NA
"aria_chk","version_2.2.1",0,NA
"aria_chk","version_2.2",0,NA
"aria_chk","version_2.1.post1",19,NA
"aria_chk","version_2.1",19,NA
"aria_chk","version_2.0",19,NA
"aria_chk","version_1.1",19,NA
"aria_chk","version_1.0",0,NA
"lspci","version_3.1.1",0,NA
"lspci","version_3.1",0,NA
"lspci","version_3.0",0,NA
"lspci","version_2.2.1",0,NA
"lspci","version_2.2",0,NA
"lspci","version_2.1.post1",80,NA
"lspci","version_2.1",80,NA
"lspci","version_2.0",80,NA
"lspci","version_1.1",80,NA
"lspci","version_1.0",0,NA
"bluetoothctl","version_3.1.1",0,NA
"bluetoothctl","version_3.1",0,NA
"bluetoothctl","version_3.0",0,NA
"bluetoothctl","version_2.2.1",0,NA
"bluetoothctl","version_2.2",0,NA
"bluetoothctl","version_2.1.post1",80,NA
"bluetoothctl","version_2.1",80,NA
"bluetoothctl","version_2.0",80,NA
"bluetoothctl","version_1.1",80,NA
"bluetoothctl","version_1.0",0,NA
"nmblookup","version_3.1.1",18,NA
"nmblookup","version_3.1",0,NA
"nmblookup","version_3.0",18,NA
"nmblookup","version_2.2.1",18,NA
"nmblookup","version_2.2",18,NA
"nmblookup","version_2.1.post1",98,NA
"nmblookup","version_2.1",98,NA
"nmblookup","version_2.0",98,NA
"nmblookup","version_1.1",98,NA
"nmblookup","version_1.0",0,NA
"mpris-proxy","version_3.1.1",0,NA
"mpris-proxy","version_3.1",0,NA
"mpris-proxy","version_3.0",0,NA
"mpris-proxy","version_2.2.1",0,NA
"mpris-proxy","version_2.2",0,NA
"mpris-proxy","version_2.1.post1",99,NA
"mpris-proxy","version_2.1",99,NA
"mpris-proxy","version_2.0",99,NA
"mpris-proxy","version_1.1",99,NA
"mpris-proxy","version_1.0",0,NA
