"filename","version","findings_count"
"edgepaint","version_0.6",433
"editcap","version_0.4",41
"editcap","version_0.5",9
"editcap","version_0.6",8
"editres","version_0.4",86
"editres","version_0.5",22
"editres","version_0.6",27
"eject","version_0.4",75
"eject","version_0.5",54
"eject","version_0.6",66
"engrampa","version_0.4",550
"engrampa","version_0.5",1
"engrampa","version_0.6",0
"eqn","version_0.4",0
"eqn","version_0.5",0
"eqn","version_0.6",0
"etterfilter","version_0.4",64
"etterfilter","version_0.5",35
"etterfilter","version_0.6",32
"etterlog","version_0.4",67
"etterlog","version_0.5",13
"etterlog","version_0.6",15
"exiv2","version_0.4",610
"exiv2","version_0.5",373
"exiv2","version_0.6",396
"exo.desktop.item.edit","version_0.4",36
"exo.desktop.item.edit","version_0.5",1
"exo.desktop.item.edit","version_0.6",2
"expr","version_0.4",482
"expr","version_0.5",168
"expr","version_0.6",163
"factor","version_0.4",116
"factor","version_0.5",54
"factor","version_0.6",49
"fastjar","version_0.4",90
"fastjar","version_0.5",59
"fastjar","version_0.6",50
"fidentify","version_0.4",0
"fidentify","version_0.5",0
"fidentify","version_0.6",0
"filan","version_0.4",47
"filan","version_0.5",74
"filan","version_0.6",77
"file","version_0.4",27
"file","version_0.5",87
"file","version_0.6",64
"find","version_0.4",0
"find","version_0.5",0
"find","version_0.6",0
"findmnt","version_0.4",12
"findmnt","version_0.5",20
"findmnt","version_0.6",21
"fish","version_0.4",0
"fish","version_0.5",0
"fish","version_0.6",0
"fiwalk","version_0.4",0
"fiwalk","version_0.5",0
"fiwalk","version_0.6",0
"flac","version_0.4",408
"flac","version_0.5",96
"flac","version_0.6",104
"futility","version_0.4",200
"futility","version_0.5",191
"futility","version_0.6",251
"g.ir.compiler","version_0.4",0
"g.ir.compiler","version_0.5",0
"g.ir.compiler","version_0.6",0
"gatttool","version_0.4",331
"gatttool","version_0.5",212
"gatttool","version_0.6",124
"gawk","version_0.4",0
"gawk","version_0.5",0
"gawk","version_0.6",0
"gdbus","version_0.4",42
"gdbus","version_0.5",12
"gdbus","version_0.6",9
"generic_chunked","version_0.4",357
"generic_chunked","version_0.5",120
"generic_chunked","version_0.6",128
"generic_listen_tcp","version_0.4",347
"generic_listen_tcp","version_0.5",116
"generic_listen_tcp","version_0.6",124
"generic_send_tcp","version_0.4",342
"generic_send_tcp","version_0.5",116
"generic_send_tcp","version_0.6",124
"generic_send_udp","version_0.4",340
"generic_send_udp","version_0.5",116
"generic_send_udp","version_0.6",124
"generic_web_server_fuzz","version_0.4",358
"generic_web_server_fuzz","version_0.5",120
"generic_web_server_fuzz","version_0.6",128
"generic_web_server_fuzz2","version_0.4",365
"generic_web_server_fuzz2","version_0.5",120
"generic_web_server_fuzz2","version_0.6",128
"gio","version_0.4",4
"gio","version_0.5",47
"gio","version_0.6",46
"git","version_0.4",0
"git","version_0.5",0
"git","version_0.6",0
"git.shell","version_0.4",0
"git.shell","version_0.5",1939
"git.shell","version_0.6",1391
"gnome.keyring.daemon","version_0.4",0
"gnome.keyring.daemon","version_0.5",0
"gnome.keyring.daemon","version_0.6",0
"gopherd","version_0.4",345
"gopherd","version_0.5",118
"gopherd","version_0.6",124
"gpasswd","version_0.4",111
"gpasswd","version_0.5",69
"gpasswd","version_0.6",76
"gpg","version_0.4",0
"gpg","version_0.5",0
"gpg","version_0.6",0
"gpg.agent","version_0.4",593
"gpg.agent","version_0.5",369
"gpg.agent","version_0.6",349
"gpg.connect.agent","version_0.4",288
"gpg.connect.agent","version_0.5",136
"gpg.connect.agent","version_0.6",136
