"","version_0.4","version_0.5","version_0.6","filename"
"lsmem",46,28,29,"lsmem"
"lsns",37,15,27,"lsns"
"lsof",281,206,262,"lsof"
"lspci",96,7,7,"lspci"
"lstopo",291,44,54,"lstopo"
"lstopo-no-graphics",257,44,55,"lstopo-no-graphics"
"lsusb",68,0,0,"lsusb"
"luit",31,9,8,"luit"
"make",0,0,0,"make"
"man",108,61,66,"man"
"mandb",100,50,61,"mandb"
"mariadb",1522,0,0,"mariadb"
"mariadb-admin",1718,753,862,"mariadb-admin"
"mariadb-binlog",0,0,0,"mariadb-binlog"
"mariadb-check",1699,737,854,"mariadb-check"
"mariadb-conv",1377,286,321,"mariadb-conv"
"mariadb-dump",1897,770,894,"mariadb-dump"
"mariadb-import",1719,704,762,"mariadb-import"
"mariadb-plugin",1090,252,270,"mariadb-plugin"
"mariadb-show",1718,745,855,"mariadb-show"
"mariadb-slap",1769,746,888,"mariadb-slap"
"mariadb-tzinfo-to-sql",1080,247,264,"mariadb-tzinfo-to-sql"
"mariadb-upgrade",0,0,0,"mariadb-upgrade"
"mariadb-waitpid",1070,241,259,"mariadb-waitpid"
"mariadbd-safe-helper",1004,215,222,"mariadbd-safe-helper"
"mate-calc",202,0,0,"mate-calc"
"mate-calc-cmd",0,0,0,"mate-calc-cmd"
"mawk",208,97,109,"mawk"
"md5deep",584,0,0,"md5deep"
"mdsearch",0,0,0,"mdsearch"
"medusa",131,139,142,"medusa"
"metaflac",105,95,102,"metaflac"
"mingle",0,0,0,"mingle"
"minicom",267,203,201,"minicom"
"mkdir",250,52,82,"mkdir"
"mkfifo",177,37,45,"mkfifo"
"mkfs.btrfs",870,247,188,"mkfs.btrfs"
"mknod",201,39,55,"mknod"
"mksquashfs",342,156,175,"mksquashfs"
"mm2gv",179,102,240,"mm2gv"
"mmcli",94,27,25,"mmcli"
"more",47,23,23,"more"
"mount",27,23,24,"mount"
"mousepad",173,0,0,"mousepad"
"mpg123.bin",115,0,0,"mpg123.bin"
"mpris-proxy",120,15,12,"mpris-proxy"
"mpstat",103,69,64,"mpstat"
"msrpcfuzz",355,124,123,"msrpcfuzz"
"msrpcfuzz_udp",350,124,123,"msrpcfuzz_udp"
"mt-gnu",238,105,114,"mt-gnu"
"mv",675,94,138,"mv"
"myisamchk",0,0,0,"myisamchk"
"myisamlog",1784,446,491,"myisamlog"
"myisampack",1854,471,536,"myisampack"
"myisam_ftdump",1808,463,517,"myisam_ftdump"
"my_print_defaults",1071,242,261,"my_print_defaults"
"nano",527,319,395,"nano"
"nasm",745,1159,354,"nasm"
"ncdu",1607,138,69,"ncdu"
"ncrack",1213,22,14,"ncrack"
"ndisasm",27,27,57,"ndisasm"
"net",538,0,0,"net"
"netkit-ftp",141,49,58,"netkit-ftp"
"netstat",137,134,131,"netstat"
"networkctl",161,15,29,"networkctl"
"nl",480,131,140,"nl"
"nm",2480,0,0,"nm"
"nm-applet",195,33,45,"nm-applet"
"nm-connection-editor",244,25,32,"nm-connection-editor"
"nmap_centos5",0,0,0,"nmap_centos5"
"nmblookup",194,42,50,"nmblookup"
"nmcli",759,330,372,"nmcli"
"nmtui",342,183,141,"nmtui"
"nslookup",442,75,43,"nslookup"
"nstat",67,34,43,"nstat"
"nsupdate",31,102,65,"nsupdate"
"ntfs-3g",159,89,125,"ntfs-3g"
"ntfsdecrypt",33,12,14,"ntfsdecrypt"
"ntfsinfo",88,5,7,"ntfsinfo"
"ntfsrecover",146,145,171,"ntfsrecover"
"ntfssecaudit",50,0,28,"ntfssecaudit"
"ntfswipe",102,18,21,"ntfswipe"
"ntlm2",516,176,171,"ntlm2"
"ntlm_brute",509,172,165,"ntlm_brute"
"ntpdc",104,24,41,"ntpdc"
"ntpq",182,91,118,"ntpq"
"numfmt",0,0,0,"numfmt"
"obexctl",169,58,36,"obexctl"
"objcopy",2647,612,328,"objcopy"
"objdump",3071,0,0,"objdump"
"od",60,1,0,"od"
"onesixtyone",18,9,10,"onesixtyone"
"openfortivpn",170,97,105,"openfortivpn"
"openssl",266,112,154,"openssl"
"ophcrack",536,13,0,"ophcrack"
